skills,years_experience,education,has_certifications,job_role
"pytorch, big data, tensorflow, python, r, data structures, browser compatibility, security architecture, shell scripting",3.2,Bachelor,True,Data Scientist
"siem, risk management, security, vulnerability assessment, data modeling",1.2,Bachelor,False,Cybersecurity Analyst
"sql, scikit-learn, tensorflow, numpy, r, pytorch, object-oriented programming",5.8,Bachelor,True,Data Scientist
"network security, firewalls, cisco, subnetting, data visualization, python",2.1,High School,False,Network Engineer
"project management, agile, communication, scrum, jira, nosql, accessibility, javascript",6.3,Bachelor,False,Product Manager
"databases, cloud computing, c++, git, object-oriented programming, algorithms, security architecture, product strategy, tcpip, docker",7.4,Master,False,Software Engineer
"big data, python, statistics, numpy, hypothesis testing, scikit-learn, webpack, java, usability testing",14.0,Master,False,Data Scientist
"accessibility, visual design, adobe xd, user flows, interaction design, user research, prototyping, deep learning, r, pandas",10.8,PhD,True,UX Designer
"network monitoring, tcpip, subnetting, switching, dashboards, interaction design, scrum, accessibility",8.1,Master,True,Network Engineer
"security, sql, c#, authentication, rest apis, java, python, data cleaning, machine learning, python",3.0,High School,True,Backend Developer
"routing, networking, subnetting, network monitoring, wan, troubleshooting, dns, typescript",0.5,Master,False,Network Engineer
"figma, wireframing, visual design, infrastructure as code, dashboards, caching",2.1,PhD,True,UX Designer
"css, ui frameworks, browser compatibility, responsive design, networking, market research",3.5,High School,False,Frontend Developer
"vulnerability assessment, incident response, security architecture, threat intelligence, penetration testing, sql, security",2.6,Master,True,Cybersecurity Analyst
"azure, terraform, jenkins, python, angular",2.6,High School,True,DevOps Engineer
"jenkins, docker, shell scripting, aws, infrastructure as code, golang",4.9,PhD,True,DevOps Engineer
"rest apis, graphql, microservices, docker",6.5,PhD,False,Backend Developer
"roadmapping, a/b testing, agile, leadership, communication, competitive analysis, scrum, databases, figma, terraform",6.8,High School,True,Product Manager
"project management, roadmapping, a/b testing, product strategy, leadership, competitive analysis, ui frameworks",0.5,Bachelor,True,Product Manager
"user research, accessibility, usability testing, user flows, prototyping, information architecture, data modeling, databases, javascript",2.8,Master,False,UX Designer
"debugging, api development, java, typescript, network monitoring",9.1,High School,True,Software Engineer
"wan, switching, vpn, user stories",1.6,PhD,False,Network Engineer
"browser compatibility, angular, typescript, vue, sass, css, c++, python, python, object-oriented programming",9.4,High School,True,Frontend Developer
"lan, dhcp, vpn, ui frameworks",4.4,Bachelor,True,Network Engineer
"dhcp, dns, switching, lan, network monitoring, vpn, wan, rest apis, firewall, tableau",0.4,Bachelor,False,Network Engineer
"presentation skills, project management, competitive analysis, databases, visual design",5.0,Master,True,Product Manager
"data cleaning, sql, power bi, figma, graphql, java, authentication",6.8,Master,False,Data Analyst
"stakeholder management, analytics, roadmapping, jira, market research, scrum, user stories, interaction design, cryptography, statistics, dns",0.5,Bachelor,False,Product Manager
"dashboards, forecasting, data modeling, tableau, excel, nosql, dns",1.7,High School,False,Data Analyst
"sql, rest apis, security, php, java, authentication, c#, pytorch, project management, risk management, dns",12.3,High School,True,Backend Developer
"security, siem, security architecture, ethical hacking, firewall, risk management, java, c#, git",3.0,PhD,True,Network Engineer
"communication, agile, scrum, stakeholder management, roadmapping, competitive analysis, market research, aws",0.6,Bachelor,True,Product Manager
"python, security, linux, shell scripting, terraform, ci/cd, graphql, excel",1.4,Bachelor,False,DevOps Engineer
"risk management, ethical hacking, security architecture, penetration testing, incident response, firewall, security, analytics, networking",9.2,Bachelor,False,Cybersecurity Analyst
"networking, ansible, infrastructure as code, docker, azure, linux, scrum",4.8,Master,True,DevOps Engineer
"authentication, nosql, graphql, sql, microservices, databases, golang, algorithms, communication",4.8,Master,False,Backend Developer
"scikit-learn, r, machine learning, sql, data visualization, hypothesis testing, project management, penetration testing, responsive design, vpn",11.8,Bachelor,True,DevOps Engineer
"agile, user stories, communication, market research, leadership, risk management",9.6,Master,False,Product Manager
"tensorflow, r, machine learning, project management, network security, siem",1.8,PhD,False,Data Scientist
"dhcp, firewalls, dns, network security, lan, subnetting, security compliance, user research, accessibility, user stories",0.7,High School,False,Network Engineer
"graphql, security, nosql, ruby, authentication, azure, information architecture, angular",1.7,High School,False,Backend Developer
"terraform, docker, linux, networking, risk management, react, deep learning, cisco",5.5,Bachelor,True,DevOps Engineer
"git, python, microservices, databases, api development, testing, data structures, c#",8.3,Bachelor,True,Software Engineer
"algorithms, debugging, data structures, microservices, terraform, docker, data modeling",9.0,PhD,False,Software Engineer
"cisco, subnetting, network monitoring, vpn, lan, node.js, redux",4.0,Bachelor,True,Network Engineer
"hypothesis testing, sql, big data, aws, competitive analysis, networking",2.6,PhD,True,Data Scientist
"reporting, statistics, sql, data visualization, r, ruby, sql",14.0,High School,True,Data Analyst
"api development, microservices, algorithms, git, agile, python, analytics",8.4,High School,False,Software Engineer
"tcpip, subnetting, cisco, lan, dhcp, troubleshooting, vpn, hypothesis testing, typescript, data modeling, information architecture",9.8,PhD,True,Network Engineer
"power bi, data visualization, forecasting, reporting, javascript",1.4,PhD,True,Data Analyst
"figma, prototyping, sketch, incident response, roadmapping, jenkins, presentation skills",4.5,High School,False,UX Designer
"prototyping, accessibility, usability testing, visual design, user research, information architecture, browser compatibility, kubernetes, authentication, sql",6.6,Master,False,UX Designer
"redux, sass, vue, javascript, css, network monitoring",14.7,Bachelor,False,Frontend Developer
"siem, risk management, ethical hacking, security compliance, vulnerability assessment, interaction design, scrum, business intelligence, react",8.3,Master,True,Cybersecurity Analyst
"network monitoring, tcpip, dhcp, microservices, php, r",7.2,Bachelor,True,Network Engineer
"caching, authentication, java, algorithms, figma, firewall, roadmapping",0.8,PhD,False,Backend Developer
"user research, sketch, information architecture, prototyping, cisco, leadership, typescript",10.8,High School,True,UX Designer
"debugging, python, api development, algorithms, c++, java, object-oriented programming, information architecture, visual design, firewalls, user research",4.4,PhD,True,Software Engineer
"business intelligence, power bi, python, tableau, data visualization, sql, testing, security",3.2,Master,True,Data Analyst
"statistics, numpy, a/b testing, pandas, security, data cleaning, caching",9.7,High School,False,Data Scientist
"ruby, java, sql, rest apis, microservices, php, lan, big data, accessibility, react",2.1,PhD,True,Backend Developer
"big data, sql, numpy, machine learning, hypothesis testing, css",9.7,High School,False,Frontend Developer
"ethical hacking, risk management, incident response, firewall, html, scikit-learn, python",1.4,Bachelor,False,Software Engineer
"node.js, databases, php, security, adobe xd, forecasting, linux, ui frameworks",0.7,Master,True,Backend Developer
"sketch, figma, interaction design, visual design, css, usability testing, redux, authentication, c++",10.3,Master,True,UX Designer
"routing, tcpip, subnetting, firewalls, data cleaning, accessibility, data visualization, angular",3.9,Bachelor,False,Network Engineer
"microservices, caching, java, databases, php, pandas, react",7.2,PhD,True,Backend Developer
"angular, sass, javascript, react, responsive design, golang, docker",1.1,High School,True,Frontend Developer
"stakeholder management, competitive analysis, a/b testing, market research, jira, user stories, c#, subnetting, linux, power bi",8.2,High School,True,Product Manager
"python, dashboards, data modeling, sql, hypothesis testing, git, node.js",6.4,Bachelor,True,Data Analyst
"linux, ci/cd, monitoring, infrastructure as code, ansible, python, lan, user flows",3.8,PhD,False,DevOps Engineer
"penetration testing, security auditing, security, ethical hacking, cryptography, vulnerability assessment, sass, product strategy, network security, presentation skills",0.8,Bachelor,False,Cybersecurity Analyst
"monitoring, python, terraform, jenkins, security, visual design, microservices, threat intelligence, javascript",2.5,PhD,False,DevOps Engineer
"security, azure, linux, incident response, security",10.0,High School,False,DevOps Engineer
"machine learning, pandas, statistics, scikit-learn, pytorch, python, ci/cd, data structures, algorithms",7.9,Master,True,Data Scientist
"stakeholder management, user stories, jira, communication, html, c++, object-oriented programming, data cleaning",4.5,Bachelor,False,Product Manager
"python, pandas, tensorflow, machine learning, python, user flows, cryptography",9.5,PhD,False,Data Scientist
"monitoring, ansible, python, deep learning, prototyping, css",0.2,Bachelor,True,DevOps Engineer
"infrastructure as code, linux, terraform, monitoring, jenkins, ci/cd, networking, webpack",5.9,High School,True,DevOps Engineer
"vulnerability assessment, cryptography, ethical hacking, risk management, monitoring",7.3,PhD,False,Cybersecurity Analyst
"design thinking, prototyping, information architecture, aws, monitoring, c++, security compliance",2.1,PhD,True,UX Designer
"docker, linux, infrastructure as code, python, security, interaction design, api development",4.4,Bachelor,True,DevOps Engineer
"network security, switching, vpn, lan, tcpip, dns, routing, information architecture",0.2,High School,True,Network Engineer
"python, security, nosql, typescript, dashboards, design thinking",4.3,High School,False,Backend Developer
"ruby, node.js, databases, php, css, sql, power bi",9.6,Master,False,Backend Developer
"c++, agile, java, microservices, python, vue, python, risk management",1.8,Bachelor,True,Software Engineer
"testing, python, git, debugging, microservices, agile, api development, numpy, security compliance, user research, webpack",8.8,Bachelor,False,Software Engineer
"hypothesis testing, python, numpy, pandas, data visualization, scikit-learn, tensorflow, networking, analytics, debugging",7.9,Master,True,Data Scientist
"sql, reporting, tableau, power bi, r, analytics",12.4,Bachelor,False,Data Analyst
"analytics, roadmapping, agile, presentation skills, routing, nosql",9.7,High School,True,Product Manager
"communication, agile, analytics, a/b testing, stakeholder management, jira, typescript, figma, css, browser compatibility",5.5,High School,True,Product Manager
"nosql, security, golang, caching, java",1.0,Bachelor,True,Backend Developer
"pytorch, pandas, tensorflow, deep learning, c#, sql",11.2,PhD,True,Data Scientist
"roadmapping, communication, competitive analysis, shell scripting",4.2,Master,True,Product Manager
"ci/cd, python, linux, jenkins, power bi, jest",0.8,PhD,True,DevOps Engineer
"ethical hacking, vulnerability assessment, risk management, security compliance, cryptography, siem, security architecture, sketch, adobe xd, javascript, nosql",1.5,Bachelor,True,Cybersecurity Analyst
"security, security architecture, vulnerability assessment, security auditing, risk management, threat intelligence, cryptography, dns",3.1,PhD,False,Cybersecurity Analyst
"c#, rest apis, graphql, php, databases, golang, leadership, incident response, dashboards, information architecture",1.7,High School,False,Backend Developer
"design thinking, adobe xd, information architecture, user research, lan, tableau, typescript",9.9,High School,False,UX Designer
"subnetting, lan, network security, networking, java, object-oriented programming",0.4,PhD,True,Network Engineer
"object-oriented programming, algorithms, api development, data structures, microservices, cloud computing, testing, dhcp, infrastructure as code, user stories, wan",3.0,PhD,True,Software Engineer
"rest apis, python, nosql, authentication, security, java, deep learning, security architecture",0.4,Master,False,Backend Developer
"microservices, databases, rest apis, ruby, adobe xd",12.2,PhD,False,Backend Developer
"redux, responsive design, vue, sass, react, javascript, business intelligence",13.3,Bachelor,False,Frontend Developer
"aws, docker, jenkins, angular, information architecture, a/b testing",7.1,PhD,False,Data Scientist
"jest, webpack, html, javascript, risk management",5.0,High School,False,Frontend Developer
"hypothesis testing, statistics, sql, numpy, python, python, kubernetes, accessibility",10.3,PhD,False,Data Scientist
"networking, azure, aws, risk management",2.4,PhD,True,DevOps Engineer
"forecasting, sql, data modeling, r, data mining, python, data visualization, rest apis, routing, python",1.9,Master,True,Data Analyst
"roadmapping, communication, user stories, agile, browser compatibility, accessibility, php",8.9,High School,False,Product Manager
"ci/cd, jenkins, networking, docker, kubernetes, databases, html",5.3,High School,False,DevOps Engineer
"a/b testing, pytorch, hypothesis testing, pandas, r, presentation skills, threat intelligence, git",6.8,Master,False,Network Engineer
"threat intelligence, security, incident response, risk management, vulnerability assessment, c#",3.7,Bachelor,False,Cybersecurity Analyst
"tcpip, network monitoring, troubleshooting, firewalls, tableau, user research, html",3.5,High School,True,Network Engineer
"sketch, prototyping, wireframing, testing",0.2,PhD,False,UX Designer
"api development, debugging, git, security, deep learning, java, network monitoring",2.5,Master,False,Software Engineer
"infrastructure as code, python, kubernetes, aws, azure, monitoring, security, webpack, data modeling",10.9,PhD,False,DevOps Engineer
"rest apis, python, databases, network monitoring, data visualization, networking",1.3,High School,True,Backend Developer
"r, machine learning, numpy, big data, sql, tensorflow, pytorch, vpn, wireframing",4.5,Bachelor,False,Data Scientist
"sql, statistics, excel, dashboards, data visualization, redux, java, data visualization",15.0,Master,True,Data Analyst
"kubernetes, infrastructure as code, terraform, power bi",13.9,High School,False,DevOps Engineer
"scikit-learn, a/b testing, tensorflow, machine learning, deep learning, big data, vulnerability assessment",1.8,Master,False,Data Scientist
"data cleaning, forecasting, business intelligence, python, sql, data modeling, figma, testing, prototyping",11.8,Master,False,Data Analyst
"pandas, numpy, deep learning, pytorch, hypothesis testing, sql, power bi, statistics, cisco, security architecture",9.3,High School,False,Data Scientist
"incident response, penetration testing, siem, security compliance, security, statistics, user stories, caching, infrastructure as code",8.1,High School,False,Cybersecurity Analyst
"security, azure, monitoring, css, html",8.0,High School,True,DevOps Engineer
"switching, troubleshooting, tcpip, networking, python",1.5,PhD,False,Network Engineer
"microservices, databases, data structures, api development, c++, python, node.js, risk management, python, typescript",5.9,High School,False,Software Engineer
"dhcp, routing, lan, vpn, network security, cisco, r, data structures, machine learning",6.8,High School,False,Network Engineer
"angular, jest, html, scikit-learn, databases, data modeling",0.4,Master,True,Frontend Developer
"pytorch, pandas, deep learning, big data, scikit-learn, statistics, interaction design",12.6,Bachelor,True,Software Engineer
"threat intelligence, vulnerability assessment, security architecture, testing, hypothesis testing, troubleshooting, big data",1.0,Master,False,Cybersecurity Analyst
"user flows, visual design, information architecture, accessibility, rest apis, agile, security auditing",1.5,PhD,False,UX Designer
"user flows, wireframing, interaction design, design thinking, presentation skills",9.8,PhD,False,UX Designer
"react, vue, accessibility, r, accessibility, agile",1.0,Bachelor,True,Frontend Developer
"sql, dashboards, reporting, excel, data cleaning, python, data visualization, css, presentation skills",1.7,PhD,True,Data Analyst
"security auditing, siem, ethical hacking, risk management, security, accessibility",5.9,Bachelor,True,Cybersecurity Analyst
"accessibility, wireframing, interaction design, information architecture, user flows, prototyping, sketch, dashboards, java",8.6,High School,False,UX Designer
"caching, node.js, rest apis, java, databases, php, authentication, html, data visualization, agile, scrum",10.7,PhD,True,Backend Developer
"infrastructure as code, security, linux, azure, ansible, redux, a/b testing, market research",0.5,High School,False,DevOps Engineer
"data modeling, dashboards, data cleaning, python, data mining, r, redux, cloud computing, figma, security architecture",0.7,PhD,False,Data Analyst
"responsive design, accessibility, ui frameworks, typescript, redux, webpack, power bi, figma, data mining",14.9,PhD,False,Frontend Developer
"c++, testing, debugging, ui frameworks, python, statistics",2.4,High School,True,Software Engineer
"sql, python, business intelligence, excel, statistics, data cleaning, r, python, subnetting",1.3,PhD,True,Data Analyst
"machine learning, r, tensorflow, pandas, threat intelligence, data structures",2.4,PhD,False,Data Scientist
"php, security, databases, graphql, scikit-learn",6.4,PhD,True,Backend Developer
"business intelligence, r, data cleaning, sql, dashboards, docker, subnetting, pytorch",11.1,PhD,True,Data Analyst
"user flows, interaction design, user research, prototyping, adobe xd, ui frameworks, debugging, leadership",13.4,Bachelor,True,UX Designer
"docker, terraform, linux, visual design, databases",2.7,High School,False,DevOps Engineer
"c++, databases, python, javascript, git, networking, security architecture, cisco",5.7,Master,True,Software Engineer
"cryptography, security auditing, siem, security, object-oriented programming",0.8,High School,False,Cybersecurity Analyst
"stakeholder management, presentation skills, a/b testing, user stories, scrum, switching, webpack, design thinking",9.3,Bachelor,False,Product Manager
"docker, shell scripting, infrastructure as code, linux, security, aws, product strategy, competitive analysis, jira, data structures",11.5,Master,True,DevOps Engineer
"statistics, sql, hypothesis testing, big data, numpy, a/b testing, r, roadmapping",7.0,Master,False,Data Scientist
"redux, webpack, sass, responsive design, browser compatibility, product strategy, nosql",8.6,PhD,False,Frontend Developer
"user flows, user research, css, sketch, wireframing, data cleaning, terraform, dns",0.6,Master,True,UX Designer
"responsive design, css, sass, angular, vue, accessibility, aws, usability testing",6.2,Bachelor,True,Frontend Developer
"data modeling, python, reporting, business intelligence, forecasting, dashboards, power bi, nosql, hypothesis testing, python",2.3,Master,False,Data Analyst
"vue, ui frameworks, css, html, sass, angular, jest, firewalls, troubleshooting",4.8,Master,False,Frontend Developer
"project management, communication, user stories, competitive analysis, html, azure, microservices, data structures",2.4,PhD,True,Product Manager
"hypothesis testing, data visualization, deep learning, python, user research",4.1,Master,True,Data Scientist
"user flows, interaction design, user research, usability testing, adobe xd, design thinking, information architecture, java",4.7,Bachelor,True,UX Designer
"business intelligence, sql, reporting, data mining, excel, power bi, data modeling, c#, firewall, risk management, html",9.0,High School,False,Data Analyst
"security architecture, risk management, penetration testing, security auditing, security compliance, siem, algorithms, big data",2.7,PhD,True,Cybersecurity Analyst
"communication, project management, leadership, market research, python, infrastructure as code",14.3,High School,True,Backend Developer
"r, excel, statistics, sql, dashboards, tableau, data modeling, network security, sketch",2.8,PhD,True,Data Analyst
"python, ansible, kubernetes, shell scripting, terraform, accessibility, statistics",0.0,Bachelor,False,DevOps Engineer
"webpack, typescript, angular, redux, cisco",9.7,High School,True,Frontend Developer
"java, sql, graphql, c#, ruby, python, security compliance, data modeling",0.1,High School,True,Backend Developer
"jest, angular, vue, redux, browser compatibility, javascript, ui frameworks, presentation skills",10.4,High School,True,Frontend Developer
"networking, ansible, monitoring, security, terraform, infrastructure as code, docker, java, vpn, hypothesis testing, vue",8.5,Master,True,DevOps Engineer
"agile, market research, project management, usability testing",1.0,PhD,True,Data Analyst
"data modeling, excel, dashboards, product strategy, api development, pandas, css",1.4,High School,False,Data Analyst
"css, accessibility, sass, vue, javascript, webpack, dashboards, presentation skills, security",0.5,Master,False,Frontend Developer
"sketch, usability testing, wireframing, information architecture, prototyping, visual design, linux, monitoring, databases",2.3,PhD,True,Product Manager
"scikit-learn, pandas, r, sql, machine learning, stakeholder management, ansible, communication, javascript",11.0,Bachelor,False,Data Scientist
"data structures, python, algorithms, accessibility, ethical hacking, communication",8.2,High School,True,Software Engineer
"python, caching, microservices, authentication, databases, machine learning",1.4,Bachelor,True,Backend Developer
"jest, responsive design, typescript, wireframing, java, python, cryptography",3.1,High School,True,Frontend Developer
"sketch, html, accessibility, usability testing, figma, threat intelligence, data visualization, statistics",0.5,PhD,True,UX Designer
"incident response, threat intelligence, firewall, risk management, siem, competitive analysis, tensorflow",1.3,High School,False,Cybersecurity Analyst
"python, git, microservices, vpn, statistics, troubleshooting, firewalls",1.3,High School,True,Software Engineer
"reporting, python, tableau, sql, dashboards, troubleshooting",0.7,Bachelor,True,Data Analyst
"python, microservices, c#, microservices, roadmapping",7.7,PhD,False,Backend Developer
"c#, authentication, python, security, java, responsive design, wireframing",8.3,Bachelor,True,Backend Developer
"ci/cd, networking, terraform, infrastructure as code, wireframing",1.9,PhD,True,DevOps Engineer
"visual design, user flows, figma, user research, sketch, sql, machine learning, business intelligence",7.1,Bachelor,False,UX Designer
"nosql, php, ruby, golang, debugging, ci/cd",3.6,PhD,False,Backend Developer
"analytics, stakeholder management, roadmapping, a/b testing, communication, market research, r, information architecture, firewall",4.4,High School,False,Product Manager
"statistics, data cleaning, r, forecasting, dashboards, python, threat intelligence",5.4,Master,False,Data Analyst
"scrum, communication, user stories, leadership, product strategy, roadmapping, python, interaction design, responsive design",7.2,Master,True,Product Manager
"penetration testing, firewall, security, risk management, security architecture, communication, ci/cd, data visualization",3.7,PhD,True,DevOps Engineer
"data mining, forecasting, excel, r, business intelligence, data cleaning, data visualization, graphql, networking, java",3.3,Bachelor,True,Data Analyst
"r, data modeling, dashboards, python, data cleaning, vue",0.9,Master,False,Data Analyst
"microservices, cloud computing, c++, debugging, javascript, vulnerability assessment",9.8,Bachelor,False,Software Engineer
"analytics, a/b testing, competitive analysis, scrum, html, webpack",1.4,Master,False,Product Manager
"security, cryptography, security compliance, penetration testing, firewall, incident response, vulnerability assessment, ui frameworks",8.6,Master,True,Cybersecurity Analyst
"networking, jenkins, monitoring, linux, sass",8.5,Master,False,DevOps Engineer
"caching, security, microservices, java, node.js, python, kubernetes, redux, tcpip",4.0,Master,False,Backend Developer
"c++, api development, debugging, testing, java, switching",1.8,Master,False,Software Engineer
"sql, excel, power bi, r, market research",13.1,Bachelor,False,Software Engineer
"agile, roadmapping, product strategy, project management, python",3.4,Bachelor,False,Product Manager
"caching, databases, node.js, golang, python, ansible, data visualization, redux",2.7,High School,False,Backend Developer
"aws, terraform, networking, kubernetes, numpy, accessibility",4.2,PhD,True,DevOps Engineer
"object-oriented programming, javascript, git, debugging, c++, pandas, html, security, php",1.0,PhD,True,Software Engineer
"microservices, python, c#, sql, node.js, scrum, information architecture, pytorch, databases",11.4,High School,True,Backend Developer
"machine learning, tensorflow, statistics, pytorch, hypothesis testing, r, adobe xd",14.8,Master,True,Data Scientist
"git, testing, agile, javascript, databases, data structures, debugging, numpy",7.4,PhD,True,Software Engineer
"ruby, c#, java, security, microservices, databases, firewalls, security compliance",3.5,PhD,True,Data Analyst
"switching, subnetting, routing, data visualization",0.6,Bachelor,False,Network Engineer
"browser compatibility, redux, jest, javascript, angular, responsive design, caching, dhcp, html, r",13.3,Master,False,Frontend Developer
"interaction design, accessibility, wireframing, figma, browser compatibility, python",7.7,Bachelor,True,UX Designer
"sql, forecasting, data mining, data modeling, r, power bi, security, nosql, competitive analysis",13.6,Bachelor,False,Data Analyst
"ethical hacking, siem, security architecture, firewall, security compliance, javascript",13.3,PhD,True,Cybersecurity Analyst
"incident response, siem, security architecture, security, penetration testing, risk management, cryptography, ci/cd",1.6,Master,False,Cybersecurity Analyst
"r, scikit-learn, pytorch, machine learning, numpy, market research, user flows, stakeholder management, css",14.5,High School,True,Data Scientist
"git, testing, cloud computing, debugging, nosql, routing, incident response",13.5,Master,True,Software Engineer
"a/b testing, hypothesis testing, r, tcpip, competitive analysis, dashboards",10.7,Bachelor,False,Data Scientist
"statistics, reporting, power bi, python, data mining, excel, docker, firewall",1.7,Master,False,Data Analyst
"react, html, jest, aws",3.3,PhD,True,Frontend Developer
"azure, infrastructure as code, security, pandas",9.4,Master,True,DevOps Engineer
"statistics, pandas, data visualization, big data, r, scikit-learn, numpy, accessibility, security, angular",0.2,Bachelor,True,Data Scientist
"security architecture, penetration testing, security, security compliance, power bi, microservices, routing, ci/cd",9.2,Bachelor,True,Frontend Developer
"agile, data structures, microservices, algorithms, databases, python, api development, golang, subnetting, webpack, security auditing",2.3,PhD,True,Software Engineer
"ruby, authentication, graphql, rest apis, security, leadership, vpn, jenkins",1.2,Master,True,Backend Developer
"tensorflow, pytorch, hypothesis testing, a/b testing, big data, r, numpy, security architecture, azure, threat intelligence, jenkins",3.6,High School,False,Data Scientist
"stakeholder management, roadmapping, agile, redux, ruby, networking, c#",1.0,Master,False,Product Manager
"user research, figma, prototyping, interaction design, python",3.0,Bachelor,True,UX Designer
"ruby, c#, java, caching, microservices, node.js, sql, dns",13.3,Bachelor,True,Backend Developer
"agile, a/b testing, leadership, communication, risk management, ui frameworks, testing, usability testing",2.1,High School,True,Product Manager
"power bi, dashboards, data cleaning, tableau, graphql, dhcp",10.4,PhD,True,Data Analyst
"firewalls, vpn, network security, networking, tcpip, dns, routing, incident response, risk management",2.5,Bachelor,False,Network Engineer
"php, rest apis, c#, databases, security, graphql, python, sql, project management",3.1,High School,False,Backend Developer
"tcpip, network security, subnetting, lan, roadmapping, communication, statistics, security",10.2,PhD,False,Network Engineer
"network monitoring, networking, tcpip, lan, power bi, javascript",2.6,High School,False,Network Engineer
"design thinking, visual design, interaction design, microservices",10.5,Master,True,UX Designer
"javascript, agile, testing, data structures, debugging, algorithms, c++, switching, accessibility, cryptography",6.9,PhD,True,Software Engineer
"prototyping, sketch, visual design, css, react, stakeholder management, ansible, network monitoring",8.2,High School,True,UX Designer
"testing, c++, javascript, debugging, git, java, golang",0.3,High School,True,Software Engineer
"vue, css, react, responsive design, jest, webpack, information architecture",4.5,High School,False,Frontend Developer
"subnetting, vpn, networking, cisco, troubleshooting, firewalls, design thinking",0.6,High School,False,Network Engineer
"data visualization, statistics, a/b testing, sql, network monitoring, python, threat intelligence, ethical hacking",3.5,PhD,True,DevOps Engineer
"microservices, ruby, graphql, c#, caching, java, responsive design",0.5,Master,True,Backend Developer
"hypothesis testing, pytorch, a/b testing, statistics, sql, deep learning, databases, user stories, routing",0.6,Bachelor,False,Data Scientist
"wireframing, interaction design, usability testing, user flows, accessibility, prototyping, sketch, css, data visualization, python",8.4,High School,False,UX Designer
"pandas, pytorch, sql, tensorflow, wireframing, user stories",1.3,Master,True,Data Scientist
"java, c#, authentication, microservices, nosql, sql, databases, deep learning, security auditing, webpack, java",9.6,Master,True,Backend Developer
"databases, javascript, api development, cloud computing, git, network monitoring, html",14.5,PhD,True,Software Engineer
"sql, pytorch, r, hypothesis testing, redux, presentation skills",1.9,Bachelor,True,Data Scientist
"market research, leadership, product strategy, project management, presentation skills, communication, jira, tcpip",5.9,Master,True,Product Manager
"webpack, redux, ui frameworks, big data, microservices",10.2,Bachelor,False,Frontend Developer
"user stories, jira, leadership, html, data modeling",14.5,Bachelor,True,Product Manager
